title,location,coordinate
Family Steak House,"91 Văn Cao, Quận Ba Đình, Hà Nội","21.0388822, 105.8156831"
Jun Hô Food - Khô Gà & Heo Khô Cháy Tỏi - Shop Online,"14 Ngõ 10 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.0218231, 105.8175944"
Bún Chả Hà Nội Gia Truyền - Vĩnh Phúc,"105 Nhà K Khu 7,2Ha, Vĩnh Phúc, Quận Ba Đình, Hà Nội","21.04361983, 105.8086181"
Minh Bùm - Chân Gà Rang Muối,"8 Phan Kế Bính, Quận Ba Đình, Hà Nội","21.0363408, 105.8072077"
Hồng Ninh - Bánh Cốm Hà Nội,"79A Hàng Than, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.04032604, 105.8476492"
Đèn Lồng Đỏ - Ẩm Thực Trung Hoa,"19 Nguyễn Công Hoan, Quận Ba Đình, Hà Nội","21.027494, 105.812569"
Sơn Béo - Ngan Chặt & Bún Miến Ngan,"104 C5 Ngõ 12 Núi Trúc, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.028105, 105.822348"
Khu Ăn Uống Chợ Châu Long,"Chợ Châu Long, Quận Ba Đình, Hà Nội","21.04385889, 105.8420079"
Teen's Food - Các Món Ăn Vặt - Nguyễn Công Hoan,"11 Nguyễn Công Hoan, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.027161, 105.816782"
Món Ngon Nhà Báo - Chim Cút Quay - Quán Thánh,"160 Quán Thánh, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.042884, 105.840297"
Cô Dung - Phở Trộn & Đồ Nhậu Đêm,"52 Yên Phụ, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.042903, 105.847768"
Bubble Tea - Trà Sữa Trân Châu - Nguyễn Trường Tộ,"70 Nguyễn Trường Tộ, Quận Ba Đình, Hà Nội","21.0433269, 105.84301"
Chouchin - Cơm Niêu & Món Xiên Nướng Nhật,"Tầng 3, 5 Ngõ 535 Kim Mã, Quận Ba Đình, Hà Nội","21.029603, 105.81038"
Tú Xèo - Chim Cút Quay Móc Mật,"5 Ngõ 167 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.03499, 105.825342"
Phở An - Phở Bò,"260 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.03572976, 105.8174194"
Nhà Hàng Gà 99,"83 Văn Cao, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.03976372, 105.8160159"
Shop Be - Đồ Ăn Vặt Online,"112 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.029926, 105.827544"
Gà Ủ Muối - 106D7 Thành Công,"106D7 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0232181, 105.8119105"
6+ Coffee - Phan Đình Phùng,"6 Phan Đình Phùng, Quận Ba Đình, Hà Nội","21.0402985, 105.8448451"
Cháo Dinh Dưỡng - Hoàng Hoa Thám,"10 Ngõ 189 Hoàng Hoa Thám, Quận Ba Đình, Hà Nội","21.04167535, 105.8204315"
Chè Sầu Liên - Đào Tấn,"68 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.03307795, 105.8072163"
Lẩu Riêu Cua - Phó Đức Chính,"66 Phó Đức Chính, Quận Ba Đình, Hà Nội","21.048748, 105.841485"
Mai Nga - Bún Cá Hà Thành - Đào Tấn,"76A Ngõ 9 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0325916, 105.8065676"
Café De Flore 46,"46 Nguyễn Trường Tộ, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.042987, 105.843958"
Giảng Cafe - Yên Phụ,"106 Yên Phụ, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.0415639, 105.848898"
Nem Chua Rán 36 Tạm Thương - Văn Cao,"40 Văn Cao, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.0390989, 105.8152234"
Lẩu Mắm & Lẩu Cá Kèo,"69 Văn Cao, Quận Ba Đình, Hà Nội","21.04013265, 105.8161487"
Bánh Mì Thịt Xiên Nướng U Thủy,"74 Ngọc Hà, Quận Ba Đình, Hà Nội","21.0355749, 105.8308891"
May Mắn Restaurant - Fortuna Hotel Hanoi,"Fortuna Hotel Hanoi, 6B Láng Hạ, Quận Ba Đình, Hà Nội","21.02206119, 105.8186522"
Bống Bang - Lẩu & Nướng,"86 Phó Đức Chính, Quận Ba Đình, Hà Nội","21.0474469, 105.8422439"
Lẩu Cháo - Lẩu Chép,"46 Văn Cao, Quận Ba Đình, Hà Nội","21.03886, 105.815377"
Gắt Quán - Hủ Tíu & Lẩu Thái,"102C5 Ngõ 1 Trần Huy Liệu, Quận Ba Đình, Hà Nội","21.02683001, 105.8229394"
"Mì Vằn Thắn, Hủ Tíu & Bánh Cuốn - Cửa Bắc","96 Cửa Bắc, Quận Ba Đình, Hà Nội","21.0414091, 105.8422162"
Phở Cuốn Vinh Phong,"40 Ngũ Xá, Quận Ba Đình, Hà Nội","21.045965, 105.841159"
Tiệm Bánh Panna Cotta,"104 K8 Ngõ 6B Thành Công, Quận Ba Đình, Hà Nội","21.02324794, 105.8167894"
Cộng Cà Phê - Trúc Bạch,"15 Trúc Bạch, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.048865, 105.839903"
Trà Bí Đao Cát Tiên - Thanh Niên,"9A Thanh Niên, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.0439409, 105.8363238"
La Pizza,"101H3 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.020477, 105.815822"
Lẩu Dê Nhất Ly - Đường Bưởi,"346 Đường Bưởi, Quận Ba Đình, Hà Nội","21.040046, 105.807018"
Mifang - Cơm Gà Hải Nam - Láng Hạ,"29/5 Láng Hạ, P.Thành Công, Quận Ba Đình, Hà Nội","21.0220659, 105.8191821"
Quỳnh Béo - Xôi Nóng & Các Món Ăn Vặt,"73 Phạm Hồng Thái, Quận Ba Đình, Hà Nội","21.04442621, 105.842779"
Saiko - Sushi & Japanese Cuisine,"537 Kim Mã, Quận Ba Đình, Hà Nội","21.029657, 105.810117"
Bồ Đề Tâm - Phạm Huy Thông,"34 Phạm Huy Thông, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.026778, 105.810378"
Phở 820 - Đội Cấn,"280 Đội Cấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.037771, 105.809187"
Balan Bakery,"354 Đội Cấn, Quận Ba Đình, Hà Nội","21.0380057, 105.8119209"
Hà Phát - Chả Bề Bề & Bún Hải Sản,"106 Trấn Vũ (Ngõ Chùa Châu Long), P. Trúc Bạch , Quận Ba Đình, Hà Nội","21.044652, 105.8415436"
Vua Bún Hải Sản - Văn Cao,"61 Văn Cao, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.040357, 105.8161229"
Fastfood Nguyên Sinh,"201 AB Đội Cấn , Quận Ba Đình, Hà Nội","21.035336, 105.823893"
Sáu Cam - Nước Ép Trái Cây,"38 Ngõ 75 An Xá, Quận Ba Đình, Hà Nội","21.04562, 105.850463"
Loan Hồ - Bún Dọc Mùng,"34 Nguyễn Chí Thanh, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.025722, 105.811357"
Gardenista - Lotte Center,"Tầng 1 Lotte Center 54 Liễu Giai, Quận Ba Đình, Hà Nội","21.032174, 105.8124"
Vị Hà - Cơm Gà & Sườn,"74 Nguyễn Trường Tộ, Quận Ba Đình, Hà Nội","21.043416, 105.842635"
Trà Chanh Bụi Phố - Đào Tấn,"114 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.034111, 105.805849"
Vân - Nầm Bò Nướng,"200 Phó Đức Chính, Quận Ba Đình, Hà Nội","21.043845, 105.846837"
Lẩu Dê Khô Thu Béo,"507 Kim Mã, Quận Ba Đình, Hà Nội","21.0316746, 105.8222795"
Kochan Takoyaki - Bánh Bạch Tuộc - Trần Huy Liệu,"103D1 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0269692, 105.8225004"
Toàn Béo - Lòng Trần Cháo,"76 Nguyễn Trường Tộ, Quận Ba Đình, Hà Nội","21.043404, 105.842247"
Xôi Bà Sử Chính Hiệu,"28 Đội Cấn, Quận Ba Đình, Hà Nội","21.034415, 105.831089"
Mr.Taco - Đặc Sản Mexico - Kim Mã,"289 Kim Mã, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.030603, 105.819138"
Lẩu Sỹ Phú - Trúc Bạch,"5 Trúc Bạch, Quận Ba Đình, Hà Nội","21.04818, 105.840993"
All Blue - Nhà Hàng Xiên Nướng Nhật Bản,"8 Ngõ 70 Linh Lang, P. Cống Vị, Quận Ba Đình, Hà Nội","21.034554, 105.810078"
Ốc Tôn Thất Thiệp,"14 Tôn Thất Thiệp, Quận Ba Đình, Hà Nội","21.030772, 105.842842"
Latino Restaurant Tapas Bar,"121C8 Ngõ 12 Núi Trúc, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.030344, 105.822429"
Hải Sản Vân Oanh,"96A Trấn Vũ, Quận Ba Đình, Hà Nội","21.043371, 105.839796"
Bánh Mì & Xôi Các Loại - Đê La Thành,"536 La Thành, Quận Ba Đình, Hà Nội","21.02352, 105.819615"
Xôi Nóng & Bánh Mì Pate - La Thành,"544 La Thành, Quận Ba Đình, Hà Nội","21.02358155, 105.8193637"
Mr.Burger - Burger Chuẩn Mỹ - Kim Mã,"289 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0305927, 105.8169392"
Nộm Bò 1982,"11 Hàng Bún, Quận Ba Đình, Hà Nội","21.043711, 105.84583"
Otafuku - Ẩm Thực Nhật Bản,"116A Linh Lang, P. Cống Vị, Quận Ba Đình, Hà Nội","21.032715, 105.809653"
Deli’he - Clean & Healthy Food - Shop Online,"53 Ngõ 74 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.022861, 105.816725"
Khoai Lang Mật Đà Lạt Nướng - Shop Online,"A903 Toà M3 - M4, 91 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội","21.020755, 105.809307"
Xôi Đêm - Giang Văn Minh,"33 Giang Văn Minh, P. Kim Mã, Quận Ba Đình, Hà Nội","21.03127, 105.826847"
Super Chicken - Tiệm Gà Online,"Ngách 33 Ngõ 9 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0326665, 105.8061343"
Nem Rán Bà Cụ - Cổng Trường Thành Công,"Cạnh Cổng THCS Thành Công, D7 TT Thành Công, Quận Ba Đình, Hà Nội","21.022993, 105.813936"
Flamenco Tea,"90 Cửa Bắc, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.0419614, 105.8423361"
Bún Ziu Gánh,"52 Hàng Bún, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.040316, 105.844012"
Tranquil Books & Coffee - Nguyễn Biểu,"18B Nguyễn Biểu, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.041556, 105.840029"
Tiktak - Tiệm Gà Rán Hàn Quốc,"85 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.0174963, 105.8151658"
Bún Dọc Mùng - Thành Công,"103 A4 TT Thành Công, Quận Ba Đình, Hà Nội","21.02087945, 105.8133736"
Angel In US Coffee - Lotte Center,"Tầng 1, Lotte Center, 54 Liễu Giai, Quận Ba Đình, Hà Nội","21.03213569, 105.812754"
Ming Palace - Ẩm Thực Trung Hoa - Pan Pacific Hotel Hanoi,"Pan Pacific Hotel Hanoi, 1 Thanh Niên, Quận Ba Đình, Hà Nội","21.04994, 105.839388"
DC Garden - Lẩu & Nướng Đội Cấn,"279 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.0354065, 105.8204429"
Nhà Hàng Lá Phong Đỏ - Ẩm Thực Nhật Bản,"583 Kim Mã, Quận Ba Đình, Hà Nội","21.02948576, 105.8089731"
Cô Ú - Bánh Đa Cua & Soup Cua Ghẹ,"1 Ngõ 154 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.034811, 105.825673"
Trang Lùn - Bún Bò Huế,"150 Phó Đức Chính, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.045726, 105.8432612"
Izakaya Yancha - Ẩm Thực Nhật Bản - Kim Mã,"579 Kim Mã, Quận Ba Đình, Hà Nội","21.029454, 105.809036"
Jeonbok - Thực Phẩm Cao Cấp - Vincom Metropolis,"Tòa M2 Vincom Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0317724, 105.8156594"
Quán Ngon - I Chimizen,"57 Kim Mã Thượng, Quận Ba Đình, Hà Nội","21.036038, 105.811952"
Lẩu Tuyết - Lẩu Thái Tomyum & Đồ Nướng Tự Chọn - Trần Phú,"88 Trần Phú, P. Kim Mã, Quận Ba Đình, Hà Nội","21.03274, 105.830863"
KinKin Hot Pot - Lẩu 1 Người,"1138 Đê La Thành, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.028392, 105.806118"
Phở Vi - Nguyễn Trường Tộ,"72 Nguyễn Trường Tộ, Quận Ba Đình, Hà Nội","21.04336855, 105.8428508"
Mikado Ramen,"607 Kim Ma, Quận Ba Đình, Hà Nội","21.029535, 105.808638"
Nướng & Lẩu - Phó Đức Chính,"206 Phó Đức Chính, Quận Ba Đình, Hà Nội","21.04388737, 105.8468389"
Bánh Cuốn Bà Lành,"929 La Thành, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.02696949, 105.8097047"
Hoa Thoan - Cháo Dinh Dưỡng - Đê La Thành,"619 Đê La Thành, Quận Ba Đình, Hà Nội","21.02383692, 105.8165031"
Cua Khoái - Bùng Vị Cua Sốt Sài Gòn - Quán Thánh,"148 Quán Thánh, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.0426988, 105.8413326"
Dồi Sụn Nướng - Chợ Thành Công,"2A6A Chợ Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.022853, 105.815312"
Zone Coffee - Phạm Huy Thông,"52 Phạm Huy Thông, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.02739322, 105.8100905"
Bếp Xuka - Đội Cấn,"153 Đội Cấn, Quận Ba Đình, Hà Nội","21.034952, 105.825833"
Hải Miu - Nước Ép & Cơm Văn Phòng,"195A Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.035086, 105.823632"
Cháo Lòng & Lòng Trần - Bắc Thành Công,"116A4 Khu TT Bắc Thành Công, Thành Công, Quận Ba Đình, Hà Nội","21.020799, 105.814449"
Bít Tết - Hòe Nhai,"Hòe Nhai, Quận Ba Đình, Hà Nội","21.04121, 105.846383"
Phở Gà & Bún Thang - Nguyễn Trường Tộ,"125 Nguyễn Trường Tộ, Quận Ba Đình, Hà Nội","21.042043, 105.8440763"
"Nhật Minh - Bánh Xèo, Nem Lụi & Bún Chả","129 Đội Cấn, Quận Ba Đình, Hà Nội","21.0347144, 105.8282487"
Hương Duy - Phở Cuốn & Lẩu,"71 Trúc Bạch, Quận Ba Đình, Hà Nội","21.0467818, 105.8419888"
XƯỞNG ĂN VẶT - Bánh Mì & Nem Chua Rán - Thành Công,"103 D10 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0228287, 105.8123083"
Phở Bò Gia Truyền Nam Định - Đội Cấn,"206B Đội Cấn, Quận Ba Đình, Hà Nội","21.03515, 105.8219"
Bánh Mì Kẹp Thịt Nướng Pai Bread - Đội Cấn,"9A Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.034482, 105.831352"
Xúc Xích Subo - Shop Online,"7/35 Ngõ 462 Đường Bưởi, Quận Ba Đình, Hà Nội","21.0429796, 105.8063673"
Ghiền Food - Cơm Cháy Chà Bông - Shop Online,"153 Kim Mã, P. Kim Mã, Quận Ba Đình, Hà Nội","21.0315549, 105.8247207"
Khu Ăn Uống Chợ A4 Thành Công,"Khu A4 Thành Công, Quận Ba Đình, Hà Nội","21.020966, 105.813573"
Lẩu Bò Trung Hoa - Yên Phụ,"42H Yên Phụ, Quận Ba Đình, Hà Nội","21.047063, 105.843115"
Quán Ngon - Bánh Đa Cua & Miến Trộn,"103B5 Thành Công, Quận Ba Đình, Hà Nội","21.02156202, 105.8144596"
Bánh Đa Trộn - Vườn Hoa Quán Thánh,"Vườn Hoa Quán Thánh, Ngã Tư Hàng Than - Hòe Nhai , Quận Ba Đình, Hà Nội","21.0399332, 105.8462746"
Phương Còi - Cháo Sườn & Chè,"101A4 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0209458, 105.8135108"
Mr. Thịnh - Gà Rán & Khoai Lang Lắc - Thành Công,"92 Thành Công, Quận Ba Đình, Hà Nội","21.023402, 105.816277"
Bánh Tráng Nướng & Chè Hạt Đác - 111 Đội Cấn,"149 Đội Cấn, P. Ngọc Hà, Quận Ba Đình, Hà Nội","21.0351184, 105.8269106"
Chè Cô Thu & Bánh Tráng,"102C Ngõ 35 Kim Mã Thượng, P. Cống Vị, Quận Ba Đình, Hà Nội","21.03502, 105.812645"
Hương - Bò Nầm Nướng,"12B - 16B Hàng Than, Quận Ba Đình, Hà Nội","21.042145, 105.847098"
Lẩu Băng Chuyền Hong Kong - Nam Cao,"104 Tòa B6 Nam Cao, Quận Ba Đình, Hà Nội","21.029866, 105.821857"
Ngân - Bánh Đa Cua & Miến Trộn,"Ngõ 2 Nguyễn Văn Ngọc, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0342177, 105.8114837"
Be One - Nguyễn Văn Ngọc,"8 Nguyễn Văn Ngọc, Quận Ba Đình, Hà Nội","21.033758, 105.811601"
King BBQ - Đào Tấn,"109 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.03373905, 105.8057873"
Bánh Cuốn Nóng Gà Tần & Trứng Vịt Lộn - Đội Cấn,"381 Đội Cấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0380201, 105.8134595"
Mì Gia Tiến Đạt,"1 Lê Duẩn, Quận Ba Đình, Hà Nội","21.0299335, 105.8416508"
Master Tea 美茶 - Đội Cấn,"194 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0349335, 105.8239284"
The Baos BBQ - Bánh Bao Kẹp Thịt BBQ,"174B Đội Cấn, Quận Ba Đình, Hà Nội","21.034941, 105.824339"
Bún Ngan 47 - Đội Cấn,"47B Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0345403, 105.8307429"
Bún Ốc Riêu Cua - Ngọc Hà,"158 Ngọc Hà, Quận Ba Đình, Hà Nội","21.0376015, 105.8295336"
"Quán Hương - Cháo, Phở, Cơm, Các Món Nhậu","24 Núi Trúc, Quận Ba Đình, Hà Nội","21.02837004, 105.8242201"
Shogun - Quán Nướng Đường Phố Nhật Bản - Lotte Center,"F6 - Shop B 05-06, Tầng 6 Lotte Đào Tấn, 54 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.03217, 105.81286"
Karaoke Cafe A.Em,"32b Cao Bá Quát, Quận Ba Đình, Hà Nội","21.0303732, 105.8380955"
Phở Bát Đá - 37A Hùng Vương,"37A Hùng Vương, P. Điện Biên, Quận Ba Đình, Hà Nội","21.032611, 105.834502"
Hải Yến - Bánh Cuốn Nóng & Bún Chả Que Tre,"12A Thành Công, Quận Ba Đình, Hà Nội","21.0218997, 105.8157195"
Bún Chả Que Tre Phố Cổ,"1 Ngõ 97 Văn Cao, Quận Ba Đình, Hà Nội","21.03926554, 105.8160719"
"Phở Gà Ta, Bún Miến Ngan - Nguyễn Chí Thanh","8 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội","21.029728, 105.812677"
Bún Cá & Bánh Đa Cá Rô,"Ngõ 6 Vĩnh Phúc, Quận Ba Đình, Hà Nội","21.04440305, 105.8081665"
Bánh Mì Bơ Tỏi & Cà Phê Bọt Hàn Quốc - Shop Online,"541 Kim Mã, Quận Ba Đình, Hà Nội","21.029626, 105.810099"
Khuê Restaurant - Nguyễn Trường Tộ,"Tầng 12 Khách Sạn Hanoi Le Jardin Hotel & Spa, 46A Nguyễn Trường Tộ, Quận Ba Đình, Hà Nội","21.04323, 105.843979"
Cousins - Ẩm Thực Châu Âu - Đào Tấn,"7 Ngõ 58 Đào Tấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.0332663, 105.8074008"
Bình Xeko - Lẩu Thái,"65 Phạm Hồng Thái, Quận Ba Đình, Hà Nội","21.04421655, 105.843458"
Quán Xưa - Món Xưa,"25 Ngõ 59 Láng Hạ, Quận Ba Đình, Hà Nội","21.0199914, 105.8177103"
Hokkaido Ramen & Butadon Oyama - Phan Kế Bính,"47 Phan Kế Bính Kéo Dài, P. Cống Vị, Quận Ba Đình, Hà Nội","21.035969, 105.808436"
Dozo Sushi Dining - Vincom Metropolis,"L2-10, Vincom Metropolis 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.031208, 105.814899"
Phong Vị Quán - Quán Ăn Gia Đình,"1 Ngõ 29 Nguyễn Chí Thanh, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.028915, 105.81299"
Tam Gia Quán - Món Ngon Đà Lạt,"22 Ngõ 371 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0298957, 105.8160337"
Han Cha - Trà Sữa,"17 Ngõ 81 Linh Lang, P. Cống Vị, Quận Ba Đình, Hà Nội","21.033378, 105.810327"
Quán Ken - Lẩu Thái Tom Yum,"176 Quán Thánh, Quận Ba Đình, Hà Nội","21.04283284, 105.839389"
Bún Đậu Phất Lộc - 134A Giảng Võ,"Tầng 2, 134A Giảng Võ, P. Kim Mã, Quận Ba Đình, Hà Nội","21.029352, 105.826778"
Mạnh Đức - Phở & Cơm Văn Phòng,"23/8 Ngõ 379 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.038091, 105.814078"
Bánh Gối Oanh Oanh - Đê La Thành,"5 Ngách 50 Ngõ 612 Đê La Thành, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0244446, 105.8179948"
Yang - Buffet Lẩu Bò Mỹ - Láng Hạ,"D2 Ngõ 57 Láng Hạ, Quận Ba Đình, Hà Nội","21.019367, 105.817475"
Sông Hồng Bar - Sofitel Plaza Hanoi,"1 Thanh Niên, Quận Ba Đình, Hà Nội","21.047329, 105.837278"
Nướng Sapa - Nguyễn Thái Học,"83 Nguyễn Thái Học, Quận Ba Đình, Hà Nội","21.02941, 105.839182"
Lẩu thái Tomyum Quang Béo - Giảng Võ,"102C5 Giảng Võ, Ngõ 1 Trần Huy Liệu, Quận Ba Đình, Hà Nội","21.026396, 105.822654"
Xôi Vò Sầu Riêng - Shop Online,"46 Ngõ 117 Phúc Xá, Quận Ba Đình, Hà Nội","21.043161, 105.851676"
Bún Chả Viên Giảng Võ - Shop Online,"103C6 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.027131, 105.82269"
Ốc Luộc - Ngõ Xưởng Phim,"Cạnh Xưởng Phim, Thụy Khuê, Quận Ba Đình, Hà Nội","21.0427252, 105.8350553"
NaoNao - Japanese Cheesecake & Cheese Tart,"481 Kim Mã, Quận Ba Đình, Hà Nội","21.030274, 105.813775"
Bánh Mì Milo & Bánh Mì Kim Sa - Shop Online,"69 Nguyễn Thái Học, Quận Ba Đình, Hà Nội","21.029281, 105.840028"
Happy Lunch - 12H1 Láng Hạ,"12H1 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội","21.02005334, 105.8169387"
El Gaucho Steakhouse - Vincom Metropolis,"Tầng Trệt, L1 - 16A Vincom Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.031061, 105.814659"
Hoa Viên Brauhaus - Nguyễn Biểu,"10 Nguyễn Biểu, Quận Ba Đình, Hà Nội","21.042225, 105.840139"
Xiao - Cà Phê Muối - Nguyễn Công Hoan,"19 Nguyễn Công Hoan, Quận Ba Đình, Hà Nội","21.0271841, 105.8147311"
Cháo Lòng Bà Tý C - Châu Long,"39 Châu Long, Quận Ba Đình, Hà Nội","21.0449555, 105.8423138"
Phở Tứ,"35 Ngõ 81 Linh Lang, P. Cống Vị, Quận Ba Đình, Hà Nội","21.033025, 105.810866"
"Nộm, Nem Cuốn & Ăn Vặt - Giảng Võ","Tập Thể C5 Giảng Võ, Quận Ba Đình, Hà Nội","21.026763, 105.823066"
Trà Chanh Bụi Phố - Nguyên Hồng,"101A2 Nguyên Hồng, P. Thành Công, Quận Ba Đình, Hà Nội","21.020783, 105.812219"
Diamante - Tea & Coffee,"5 Đặng Dung, Quận Ba Đình, Hà Nội","21.04296742, 105.8415143"
Chè Bà Lan - Chè & Nước Hoa Quả,"Ngõ 35 Kim Mã Thượng, P. Cống Vị, Quận Ba Đình, Hà Nội","21.035141, 105.8126605"
LyN Food - Mì Trộn Indomie - Đội Cấn,"3 Ngõ 341 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.036189, 105.817091"
Chè Nhất Phẩm Vị - Đội Cấn,"142B Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.034727, 105.826382"
New Sake 1 - Ẩm Thực Nhật - Đào Tấn,"40 Đào Tấn, Quận Ba Đình, Hà Nội","21.0327315, 105.8083713"
Bảo Ngân Quán - Kim Mã,"269B Kim Mã, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0309703, 105.8207832"
Miến Lươn - Giảng Võ,"Sân D5 TT Giảng Võ, Quận Ba Đình, Hà Nội","21.027206, 105.821598"
Hannu - Sữa Chua Trân Châu Cốt Dừa Hà Nội - Đội Cấn,"87 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.034782, 105.827758"
Phở Lý Quốc Sư - Trần Huy Liệu,"105D1 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.02960461, 105.8196433"
Lẩu Thái Bangkok,"11 - 13A Hàng Bún, Quận Ba Đình, Hà Nội","21.043237, 105.845502"
Lẩu Gà Nấm & Phở Gà Ta- Ngọc Khánh,"72 Ngọc Khánh, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.02859597, 105.8173843"
T Box Cafe - Hồng Hà,"85 Hồng Hà, Quận Ba Đình, Hà Nội","21.043502, 105.84793"
T Box Cafe - Láng Hạ,"32 Ngõ 71 Láng Hạ, Quận Ba Đình, Hà Nội","21.0182655, 105.8168095"
Bún Hải Sản - Đội Cấn,"166A Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.0349226, 105.8245389"
Lẩu & Lòng Trần Cháo - Phó Đức Chính,"150 Phó Đức Chính, Quận Ba Đình, Hà Nội","21.045752, 105.843196"
Bánh Mì Pate - Đội Cấn,"242 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.0353808, 105.8184189"
"See Ya - Sinh Tố, Nước Ép & Matcha","34C Nguyễn Thái Học, P. Điện Biên, Quận Ba Đình, Hà Nội","21.029384, 105.839823"
Bếp Mẹ Dâu - Bông Lan Trứng Muối Siêu Sốt - Trần Huy Liệu,"D6 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0268034, 105.8212475"
Cơm Tự Chọn - Dốc Phụ Sản,"Dốc Phụ Sản, Đê La Thành, Quận Ba Đình, Hà Nội","21.02687915, 105.8093567"
Cô Dung - Bánh Rán Mặn Ngọt & Tào Phớ Đặc Biệt,"Bách Hóa Thành Công (Sát Chợ Thành Công), Quận Ba Đình, Hà Nội","21.02274359, 105.8155112"
