title,location,coordinate
Bami King - Bánh Mì Bò Nướng & Cơm Thố - Đào Tấn,"31 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0329746, 105.8078088"
Thắng Béo - Nộm Nem Tai,"10G Tôn Thất Thiệp, P. Điện Biên, Quận Ba Đình, Hà Nội","21.029708, 105.842643"
Cơm Tấm Phương Anh - Trần Huy Liệu,"119A6 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.029783, 105.819782"
Cơm Tấm Phương Anh - Trần Huy Liệu,"Số 118 Khu Tập Thể A6 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0304729, 105.8196683"
Lẩu Bảo Sang - Hoàng Hoa Thám,"565 Hoàng Hoa Thám, P, Vĩnh Phúc, Quận Ba Đình, Hà Nội","21.045953, 105.811219"
Trà Sữa Tocotoco - Cửa Bắc,"88 Cửa Bắc, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.0422052, 105.8422874"
Bún Bò Huế Nam Minh - Đội Cấn,"216 Đội Cấn, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.035217, 105.820494"
Tiệm Phớ - Đào Tấn,"71 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0331362, 105.8065585"
Woods Cafe - Phạm Huy Thông,"84 Phạm Huy Thông, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.026781, 105.810322"
Bánh Xèo Nem Lụi Ngọc Dương 125 - Đội Cấn,"Tầng 2, 125 Đội Cấn, Quận Ba Đình, Hà Nội","21.0347286, 105.8283109"
Bít Tết Số 3 Hòe Nhai,"Số 4 Phố Hoè Nhai, P. Nguyễn Trung Trực ( Đối Diện Bít Tết Số 3 Hoè Nhai), Quận Ba Đình, Hà Nội","21.0420277, 105.846"
Bánh Mì Gùi - Giảng Võ,"157 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0284886, 105.8257647"
Comi ChefHome - Cơm Mỳ Trung Hoa - Ngọc Khánh,"34 Ngọc Khánh, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.029595, 105.817311"
Umai29 - Cơm Thịt Nướng Nhật Bản - Ngọc Khánh,"128 Ngọc Khánh, Quận Ba Đình, Hà Nội","21.026063, 105.818047"
Hoa - Bún Chả - Ngọc Khánh,"150 Ngọc Khánh, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0258079, 105.8182257"
Pan Pacific Hotel Hanoi,"1 Thanh Niên, Quận Ba Đình, Hà Nội","21.050541, 105.839478"
Kem Swensen's - Vincom Liễu Giai,"Tầng 3 Vincom Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.031389, 105.815031"
Salmonoid - Món Âu - Cao Bá Quát,"32C Cao Bá Quát, Quận Ba Đình, Hà Nội","21.030469, 105.838272"
Trà Sữa Tocotoco - Kim Mã,"331 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.030478, 105.8172819"
Pizza Hut - Kim Mã,"409 Kim Mã, Quận Ba Đình, Hà Nội","21.030338, 105.815232"
Phở Cuốn 31,"31 Ngũ Xã, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.0459609, 105.840981"
Bún Bò Huế O Uông - Cửa Bắc,"16 Cửa Bắc, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.045367, 105.843105"
Bún Chả - Hồng Phúc,"26A Hồng Phúc, P. Nguyễn Trung Trực, Quận Ba Đình, Hà Nội","21.04096, 105.848292"
Quỳnh Nga - Chân Gà & Dạ Dày Nướng,"2 Lý Văn Phúc, P. Điện Biên, Quận Ba Đình, Hà Nội","21.031357, 105.832058"
Nộm Lim - Phạm Hồng Thái,"17 Phạm Hồng Thái , Quận Ba Đình, Hà Nội","21.0434399, 105.845388"
Su's House - Bánh Su Kem Singapore - Cầu Giấy,"39 Cầu Giấy, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.029895, 105.802652"
"Botanica - Salad, Steak & Pasta - Giảng Võ","116 D4 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.02604, 105.822366"
KAMPONG - Cơm gà Hải Nam - 110D1 Trần Huy Liệu,"110D1 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0272291, 105.8222306"
Quán Nhỏ - Lẩu Nướng & Các Món Nhậu,"76 Ngọc Khánh, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.0276166, 105.8175581"
Bánh Ngon Phạm Hương - Shop Online,"67 Phạm Hồng Thái, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.04432, 105.843137"
Sushi Quán - Ushi Waka Maru,"5 Kim Mã Thượng, P. Cống Vị, Quận Ba Đình, Hà Nội","21.035752, 105.813699"
Nem Nướng Xuân Dần,"5 Ngõ 95 Giang Văn Minh, Quận Ba Đình, Hà Nội","21.034369, 105.827081"
Miến Lươn & Cháo Lươn- Đê La Thành,"437 Đê La Thành, Quận Ba Đình, Hà Nội","21.0236859, 105.8190894"
Bánh Giò Kim Liên - Thành Công,"103A5 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.020522, 105.81417"
Tú Gà - Chân Gà Rang Muối - Văn Cao,"14 Văn Cao, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.041721, 105.816257"
Sushi 24 - Ẩm Thực Đường Phố Nhật Bản,"285 Kim Mã (111/A5 TT Giảng Võ), P. Giảng Võ, Quận Ba Đình, Hà Nội","21.030694, 105.8184432"
Meshiya - Cơm Ngon Nhật Bản,"110 Vạn Phúc, P. Liễu Giai, Quận Ba Đình, Hà Nội","21.033242, 105.8168426"
Ding Tea - Đào Tấn,"15A Đào Tấn, Quận Ba Đình, Hà Nội","21.032386, 105.809007"
Bún Chả & Nem Rán - Thành Công,"101 A3 Thành Công, P. Thành Công, Quận Ba Đình, Hà Nội","21.0204999, 105.8133474"
Quán Cô Yên - Ốc & Ăn Vặt Các Loại,"Ngõ 192 Kim Mã (Sân Nhà Thờ), P. Kim Mã, Quận Ba Đình, Hà Nội","21.032783, 105.825344"
Oregano Deli - Nhà Hàng Cây Kinh Giới,"637A Kim Mã, Quận Ba Đình, Hà Nội","21.029192, 105.807288"
Ốc Dì Tú,"144C Quán Thánh, Quận Ba Đình, Hà Nội","21.04263, 105.841507"
Gà Rán Popeyes - TTTM D2 Giảng Võ,"Tầng 1, TTTM D2 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0267721, 105.8219317"
Hùng Thái - Bún Chả Hàng Mành,"107 B1 Thành Công, Quận Ba Đình, Hà Nội","21.0206895, 105.8145172"
Gateaux De Mia - Tiệm Bánh Mia - Shop Online,"17 Khúc Hạo, P. Điện Biên, Quận Ba Đình, Hà Nội","21.0328519, 105.8375372"
Cháo Sườn - Cửa Bắc,"45 Cửa Bắc, P. Quán Thánh, Quận Ba Đình, Hà Nội","21.043481, 105.8406266"
Phở Cuốn Hương Mai - TT Giảng Võ,"108 B1 TT. Giảng Võ, Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.0297648, 105.8203895"
Phở Cuốn Thanh Hằng,"29B Ngũ Xã, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.0459929, 105.841099"
BUMTRO - Bún Trộn Nam Bộ - Đào Tấn,"26 Ngõ 58 Đào Tấn, P. Cống Vị, Quận Ba Đình, Hà Nội","21.033441, 105.807776"
Ding Tea - Thanh Niên,"9 Thanh Niên, Quận Ba Đình, Hà Nội","21.043192, 105.836067"
Eatwell - Ngon Khỏe Cả Tuần,"P101 Khu G2 Tập thể Thành Công (Trong Ngõ 12 Nguyên Hồng), P. Thành Công, Quận Ba Đình, Hà Nội","21.0211259, 105.8108936"
Kampong Chicken - Láng Hạ,"31i Láng Hạ, Quận Ba Đình, Hà Nội","21.020451, 105.817685"
Bilio Coffee - Kim Mã,"75 Ngõ 649 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội","21.028799, 105.806609"
Lòng Trần Cháo - Đội Cấn,"258 Đội Cấn, Quận Ba Đình, Hà Nội","21.0355764, 105.8177983"
Link Tea - Quà Vặt - Thanh Niên,"18 Thanh Niên, Quận Ba Đình, Hà Nội","21.047454, 105.837385"
Cơm Tấm Dương - Trần Huy Liệu,"116B D1 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội","21.027321, 105.822093"
Bánh Su Kem Nhật Bản Beard Papa’s - Đội Cấn,"209 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội","21.035157, 105.822213"
Phở Cuốn Hương Mai - 27 Ngũ Xã,"27 Ngũ Xã, P. Trúc Bạch, Quận Ba Đình, Hà Nội","21.046008, 105.841056"
An Nam Cháo,"20 Đào Tấn, Quận Ba Đình, Hà Nội","21.0331783, 105.8089079"
Top Of Hanoi - Lotte Hotels & Resorts Hanoi,"Tầng 67, Lotte Center, 54 Liễu Giai, Quận Ba Đình, Hà Nội","21.032314, 105.812906"
